day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;BANANAS;4871;9;4870;23;;;4877;23;;;;;4874.0;0.0
1;0;PEARLS;9998;9;9995;23;;;10005;23;;;;;10001.5;0.0
1;100;BANANAS;4875;1;4871;4;4870;22;4877;22;;;;;4876.0;0.0
1;100;PEARLS;10002;1;10000;2;9998;4;10004;1;10005;21;;;10003.0;0.0
1;200;BANANAS;4870;22;;;;;4876;22;;;;;4873.0;0.0
1;200;PEARLS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;2.0
1;300;BANANAS;4873;1;4868;26;;;4875;26;;;;;4874.0;0.0
1;300;PEARLS;9995;26;;;;;10005;26;;;;;10000.0;2.0
1;400;BANANAS;4870;8;4869;28;;;4871;5;4875;28;;;4870.5;0.0
1;400;PEARLS;9998;8;9996;2;9995;26;10004;2;10005;26;;;10001.0;2.0
1;500;BANANAS;4874;1;4870;8;4869;24;4875;1;4876;23;;;4874.5;5.595703125
1;500;PEARLS;9998;8;9996;1;9995;23;10004;1;10005;23;;;10001.0;2.0
1;600;BANANAS;4868;30;;;;;4875;30;;;;;4871.5;3.21875
1;600;PEARLS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;2.0
1;700;BANANAS;4868;23;;;;;4869;1;4875;23;;;4868.5;2.66015625
1;700;PEARLS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;2.0
1;800;PEARLS;9996;1;9995;24;;;10000;3;10004;1;10005;24;9998.0;2.0
1;800;BANANAS;4871;1;4869;1;4868;24;4875;25;;;;;4873.0;7.431640625
1;900;BANANAS;4869;1;4868;20;;;4875;21;;;;;4872.0;6.1875
1;900;PEARLS;9996;1;9995;20;;;9998;11;10004;1;10005;20;9997.0;2.0
1;1000;PEARLS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;24.0
1;1000;BANANAS;4868;31;;;;;4875;31;;;;;4871.5;4.6640625
1;1100;BANANAS;4868;22;;;;;4873;6;4875;22;;;4870.5;5.03515625
1;1100;PEARLS;9996;1;9995;21;;;10002;6;10004;1;10005;21;9999.0;24.0
1;1200;PEARLS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;24.0
1;1200;BANANAS;4868;22;;;;;4874;1;4875;22;;;4871.0;-7.328125
1;1300;BANANAS;4867;25;;;;;4874;25;;;;;4870.5;-14.3828125
1;1300;PEARLS;10002;1;9995;25;;;10005;25;;;;;10003.5;24.0
1;1400;PEARLS;9995;23;;;;;10000;6;10005;23;;;9997.5;26.0
1;1400;BANANAS;4868;23;;;;;4875;23;;;;;4871.5;-1.484375
1;1500;BANANAS;4874;1;4869;21;;;4875;21;;;;;4874.5;-0.51953125
1;1500;PEARLS;9996;1;9995;20;;;9998;4;10004;1;10005;20;9997.0;26.0
1;1600;PEARLS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;34.0
1;1600;BANANAS;4869;2;4868;28;;;4875;30;;;;;4872.0;-2.9765625
1;1700;BANANAS;4868;28;;;;;4870;2;4875;28;;;4869.0;-6.875
1;1700;PEARLS;9995;28;;;;;10005;28;;;;;10000.0;34.0
1;1800;PEARLS;10000;4;9995;23;;;10002;10;10005;23;;;10001.0;34.0
1;1800;BANANAS;4868;23;;;;;4872;10;4874;23;;;4870.0;-10.6484375
1;1900;BANANAS;4868;31;;;;;4874;32;;;;;4871.0;-10.6875
1;1900;PEARLS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;34.0
1;2000;PEARLS;9996;2;9995;21;;;10004;2;10005;21;;;10000.0;34.0
1;2000;BANANAS;4868;23;;;;;4875;23;;;;;4871.5;-1.5625
